 id |          name           |    spotify_album_id    |                               img                                
----+-------------------------+------------------------+------------------------------------------------------------------
 27 | Free The Universe (E... | 6Ax8Neb7dEif3KUlJwj2P8 | https://i.scdn.co/image/e9ddf58854d6a85f27ef86fb6e57b797c3cadd91
 28 | My <3                   | 7rf78GoGZ2QEt7Utt1M6ca | https://i.scdn.co/image/e7ba6898a23b05dfb537c32d37202f8b9972202d
 29 | ZABA                    | 14IOe7ahxQPTwUYUQX3IFi | https://i.scdn.co/image/8ae8965e98d8c053075e4f9d42e5c5e033405a8a
 30 | Seven Swans             | 71M94qZwSYHxlae0EFxpsy | https://i.scdn.co/image/4f0a83649841247ebe734053a3b2e202752c3336
 31 | Currents                | 79dL7FLiJFOO0EoehUHQBv | https://i.scdn.co/image/05ba2339972970b53df22c114eff9d09c352bf0f
 32 | Lupe Fiasco's The Co... | 0MihD70HInk2rDaChdAdEy | https://i.scdn.co/image/5b5c0b5e2a7c08e281f7388f389abd0fa3d0ca76
 33 | Modern Vampires of t... | 2Qi2SySN2ePZwMLDSv9Krn | https://i.scdn.co/image/deb494a472f1e82cb0d410d8425ca5d273e8226c
 34 | In the Aeroplane Ove... | 5COXoP5kj2DWfCDg0vxi4F | https://i.scdn.co/image/e614108e0a6e7393372afc56e6ef9753296b926b
 35 | Lonerism                | 3C2MFZ2iHotUQOSBzdSvM7 | https://i.scdn.co/image/c69873ba5c8e10b054c1eacb859e9495c5e263f2
 36 | Miracle Mile            | 5S4tasGYxpQuSEWLYvgyQp | https://i.scdn.co/image/fa55a06981a9c9ea706559768a40cdc2108e109d
 37 | St. Vincent             | 2CJnMhwEEkS8R1ctgt5llf | https://i.scdn.co/image/3d11dfdcacbe35dd3095a785936360891f470b81
 38 | Stay Gold               | 6toF7GAattD7gLgqKbY8f9 | https://i.scdn.co/image/b7c1f139ee1013a6e12a0b2f6ac9ea3ac6f22606
 39 | Asleep At Heaven's G... | 47B9Lff4byhHeFXL9Wr73F | https://i.scdn.co/image/42e05c66cde4b4ffb74ea729dae0df9e209a52f5
 40 | The Avalanche           | 3rmsem3aWkMjGnBD3veUQL | https://i.scdn.co/image/6431fdfa1b393017c2852a321b1159b3bd2763c8
 41 | Ambivalence Avenue      | 7ybrct8gCd1mWsHS32ID8w | https://i.scdn.co/image/3f293302b46c107baba43d7c96389b4eb90cd177
 42 | Torches                 | 7Kmmw7Z5D2UD5MVwdm10sT | https://i.scdn.co/image/c3f13b4f7a674abda9aa36fd72fa341e918c0f26
 43 | Shame, Shame (Deluxe... | 16XswZ18xhMs8qUTN51mRl | https://i.scdn.co/image/ca278935a419e950848de139faf13b651ded71ab
 44 | Michigan                | 4mIfqTE8DOnFRFWUQH02Og | https://i.scdn.co/image/5d06fc0e6823f93bff288df2b1e9fbe6f309ea97
 45 | Brothers                | 7qE6RXYyz5kj5Tll7mJU0v | https://i.scdn.co/image/f38dbcca89c4a294dd5a35c02b9b35ea25561fe9
 46 | Silver Wilkinson        | 635cLXDOf3Kh5WA9c63xm8 | https://i.scdn.co/image/54d8c2f797b7e4a4b53c585aa7c462f8a903ae59
 47 | Voices                  | 2R2Cwe4kI8b2WObXZ90wOC | https://i.scdn.co/image/2a0ca3b7db7eee0c08837e5bfa71b134df89bda4
 48 | Writer's Block          | 3FDYmCinR2Mx94ukKJKDew | https://i.scdn.co/image/02df17a13ce0c8ce29fa7dbd2220d0ea6962062e
 49 | An Awesome Wave         | 6k3vC8nep1BfqAIJ81L6OL | https://i.scdn.co/image/a1dac609d1b8b3a6e415fffcdb53dc6d85393254
 50 | The Suburbs             | 3DrgM5X3yX1JP1liNLAOHI | https://i.scdn.co/image/225897473593f8c27ba289d384ec1dfeb4c5b92e
 51 | Helplessness Blues      | 7LKzVm90JnhNMPF6qX21fS | https://i.scdn.co/image/78889ab80a9a1eae6842dd3004930423b0a3e6f6
 52 | Knife Man               | 131vOQexOX9KXcOvcK4vM9 | https://i.scdn.co/image/61ffdd7a4522ec4ef173b686d08fc13c48e83604
 53 | Sea Change              | 5ieP11rJQvuYz0Ov3k03cy | https://i.scdn.co/image/73bf6b5512a933336c2f3e61ae16ab8fb13ac5c0
 54 | Thank Your Lucky Sta... | 7zPfNw88t2Xv2nVXWKqQls | https://i.scdn.co/image/2409d6e5f9ec6ed2941ba932b3eae878cd28e133
 55 | The Pinkprint           | 1IOHcoY4gPRECxpIhVGmuq | https://i.scdn.co/image/0b41f41ac5972b55228f486a4c26f5b0b9475613
 56 | The Lion's Roar         | 4l74hbWS9uJmGe4npUbsR5 | https://i.scdn.co/image/e2919aeb7f94d97c172902e7e55b56731174f1d0
 57 | I Never Learn           | 4fGqfyineAZmulNxgitERh | https://i.scdn.co/image/41f8b6cb87363a745a75b6559a42bad4f5ded234
 58 | The Sound Of The Smi... | 65IUZfizoxnc0WHnhEZjf3 | https://i.scdn.co/image/15072fc5d35127bdb0d9567bf89039cd2ff3105b
 59 | Sonderlust              | 3prBy9ITryUQUYKuUTn4EM | https://i.scdn.co/image/bf0d3ce73671212b3dfdd4c83ae0f761e456617b
 60 | Being No One, Going ... | 5GOHOQxjLxkcW9oXPJChBf | https://i.scdn.co/image/9063c2a00abd0d821b978833fd138084d194b7a5
 61 | Hot Thoughts            | 25Z3GFmKx6ntosMpCSngnI | https://i.scdn.co/image/e4bbc2551345ffe26aff1832e6ac28eab1bc8d7d
 62 | Forcefield              | 55pj3OVrpwedZVi8GUrChK | https://i.scdn.co/image/087f94f015e3d21c13e2038a1c4e85303da30179
 63 | good kid, m.A.A.d ci... | 3DGQ1iZ9XKUQxAUWjfC34w | https://i.scdn.co/image/3af781757f24a5608db533730c906bdca3931998
 64 | Showroom Of Compassi... | 01VQW8EUe8ZG0MrkiukGL8 | https://i.scdn.co/image/17eea987a057e2bb6c0f6c8eff591b3353a31820
 65 | New Magnetic Wonder     | 1pqW5uzTGkXqhlQ8zhYyff | https://i.scdn.co/image/8bc8ff2be32011b2a5929f9b6bfc0b56bd269444
 66 | Psychic Chasms          | 4DM9H8BlhRv4ecFM7NBcVo | https://i.scdn.co/image/2b0cf94c0e646682a982ef84a204f7c5bbd661ef
 67 | What Now                | 1BJMCEXQ7JmuVlJ6cYbe3x | https://i.scdn.co/image/7afbf7c80b2bcd7966a361bef3e351bc6119e463
 68 | Walking On A Dream      | 04gYcIojJt78nYnN5oOrKt | https://i.scdn.co/image/5998f89998bdd4c31e4897db799a5e826d4eef49
 69 | The Electric Lady       | 3bnHtSmmsgJiG82hGCmsq9 | https://i.scdn.co/image/3c6de56aefcd41b12ed9a27b9f293434794c26e5
 70 | Legacy                  | 5Pr1sAQ9i2unvVaEHnKIB5 | https://i.scdn.co/image/f11233a02847d96120e2b754eb027040e678ebee
 71 | another eternity        | 4ymjpcGruNuUUUZOeGawLe | https://i.scdn.co/image/da37e34124dc3d301528514291e7d153b7ef1cc4
 72 | Funeral                 | 6ZB8qaR9JNuS0Q0bG1nbcH | https://i.scdn.co/image/d60958619c86d218b8cc2f9ce382fd65722a475c
 73 | Oczy Mlody              | 1hnkDGUipQikSFdjRoBOFK | https://i.scdn.co/image/78b8506a4f171494f536eefd2dcc39977788b96e
 74 | Reflektor               | 4E0m7AIVc2d2QZMrMNXdMZ | https://i.scdn.co/image/b5c6831817c71854d4cf36ac11b5a5063a29e323
 75 | Fleet Foxes             | 6XzZ5pg9buAKNYg293KOQ8 | https://i.scdn.co/image/06a7498af8e3455a3bea2ce086a39c2b050cb002
 76 | Neon Bible              | 4GT6uZod4p5RiDMOVHOMme | https://i.scdn.co/image/471c4a8e841b75be8c4a36d255aae18d504b7d19
 77 | Up from Below           | 39xrkt8RILtwa9DMyLkv32 | https://i.scdn.co/image/87fd1b33f3208d7d3a3bbfb3d4f22ab089dc0d4e
 78 | american dream          | 4AF1M7bGCFL3LHCtXUUXw5 | https://i.scdn.co/image/8af6ea3b8d6f520793470fbcb39964c03afc2176
 79 | JR JR                   | 3shFtH3EfvyztGl2sdsmHS | https://i.scdn.co/image/7c5b297d1f7972627854c8f4d2adcd838416ebaa
 80 | A Mineral Love          | 47riSLCeFOffFRi9BZ2eig | https://i.scdn.co/image/bfd1ffd309a88680d4e48f7b2b1371827dff5c1d
 81 | MASSEDUCTION            | 4RoOGpdrgfiIUyv0kLaC4e | https://i.scdn.co/image/94fadfd62c6a2d955b2a77f3c5152543c6c875a3
 82 | Mind Bokeh              | 4VXEMU4mlHvP5Zb8M83wM2 | https://i.scdn.co/image/39b64d7e1cc896f29073c64389a56d7c0bb3de4d
 83 | Everything Now          | 1DNojVW079FU9YnAMk3Cgr | https://i.scdn.co/image/3aabf0f2f1410651247cb57d36f8e974f412f50a
 84 | RELAXER                 | 3uHMSQ1cC1fFAi4WMnelQP | https://i.scdn.co/image/6e8407c5d05630179f2b471b5c77e1ef50a4213e
 85 | In Ghost Colours        | 6k3dwEFYKsGrhS40jtiAGt | https://i.scdn.co/image/b1ec16890ebc38ca6b8de12e0767982c57cbd732
 86 | Coconut Oil             | 5RVuRq4HKlj8LkapG1Tcrv | https://i.scdn.co/image/a01a2cb299672bc5b9efd2dc8b63ee082f193000
 87 | Planetarium             | 0msgMFYRkWX6HixjvGOQHJ | https://i.scdn.co/image/9b84b8d882f769015977bbfcaa2e494ce1da2974
(61 rows)

